entry_number,@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$
38,true,4,https://api.elsevier.com/content/author/author_id/24463799400,24463799400,Santos N.T.,Santos,Nerilson Terra,N.T.,true,60013918
38,true,5,https://api.elsevier.com/content/author/author_id/7006923610,7006923610,de Azevedo C.P.,de Azevedo,Celso Paulo,C.P.,true,60009625
38,true,6,https://api.elsevier.com/content/author/author_id/51664989200,51664989200,de Almeida Matos F.D.,de Almeida Matos,Francisca Dionizia,F.D.,true,60029159
38,true,7,https://api.elsevier.com/content/author/author_id/26323200400,26323200400,do Amaral I.L.,do Amaral,Ieda Leão,I.L.,true,60029159
39,true,1,https://api.elsevier.com/content/author/author_id/36855684800,36855684800,Ramirez O.,Ramirez,Oscar,O.,true,60071924
39,true,2,https://api.elsevier.com/content/author/author_id/7102679463,7102679463,Vaughan C.,Vaughan,Christopher,C.,true,60021468
39,true,3,https://api.elsevier.com/content/author/author_id/16745257800,16745257800,Herrera G.,Herrera,Geovanny,G.,true,60021468
39,true,4,https://api.elsevier.com/content/author/author_id/6603255144,6603255144,Guries R.,Guries,Raymond,R.,true,60032179
40,true,1,https://api.elsevier.com/content/author/author_id/40661258900,40661258900,González-Valdivia N.,González-Valdivia,Noel,N.,true,60015438
40,true,2,https://api.elsevier.com/content/author/author_id/15851294900,15851294900,Ochoa-Gaona S.,Ochoa-Gaona,Susana,S.,true,60015438
40,true,3,https://api.elsevier.com/content/author/author_id/6701693968,6701693968,Pozo C.,Pozo,Carmen,C.,true,60015438
40,true,4,https://api.elsevier.com/content/author/author_id/7201610905,7201610905,Ferguson B.G.,Ferguson,Bruce Gordon,B.G.,true,60121765
40,true,5,https://api.elsevier.com/content/author/author_id/6506631360,6506631360,Rangel-Ruiz L.J.,Rangel-Ruiz,Luis José,L.J.,true,60025378
40,true,6,https://api.elsevier.com/content/author/author_id/23396072500,23396072500,Arriaga-Weiss S.L.,Arriaga-Weiss,Stefan Louis,S.L.,true,60025378
40,true,7,https://api.elsevier.com/content/author/author_id/7801331613,7801331613,Ponce-Mendoza A.,Ponce-Mendoza,Alejandro,A.,true,60015438
40,true,8,https://api.elsevier.com/content/author/author_id/7004297572,7004297572,Kampichler C.,Kampichler,Christian,C.,true,60025378
41,true,1,https://api.elsevier.com/content/author/author_id/16834059700,16834059700,Zamora-Bustillos R.,Zamora-Bustillos,Roberto,R.,true,60095232
41,true,2,https://api.elsevier.com/content/author/author_id/6602768627,6602768627,Rodríguez-Canul R.,Rodríguez-Canul,Rossanna,R.,true,60010531
41,true,3,https://api.elsevier.com/content/author/author_id/55989715700,55989715700,de León F.J.G.,de León,Francisco J.García,F.J.G.,true,60021746
41,true,4,https://api.elsevier.com/content/author/author_id/40661072300,40661072300,Cetina J.T.,Cetina,Jorge Tello,J.T.,true,60110909
42,true,1,https://api.elsevier.com/content/author/author_id/7005396842,7005396842,del Valle J.I.,del Valle,Jorge Ignacio,J.I.,true,60052098
42,true,2,https://api.elsevier.com/content/author/author_id/40661895300,40661895300,Restrepo H.I.,Restrepo,Héctor Iván,H.I.,true,60052098
42,true,3,https://api.elsevier.com/content/author/author_id/40661600500,40661600500,Londoño M.M.,Londoño,Mónica M.,M.M.,true,60052098
43,true,1,https://api.elsevier.com/content/author/author_id/40661465500,40661465500,Marquina M.,Marquina,María Eugenia,M.E.,true,60002439
43,true,2,https://api.elsevier.com/content/author/author_id/57206495995,57206495995,González N.,González,Néstor Enrique,N.E.,true,60002439
43,true,3,https://api.elsevier.com/content/author/author_id/40661066600,40661066600,Castro Y.,Castro,Yulimar,Y.,true,60002439
44,true,1,https://api.elsevier.com/content/author/author_id/6505846581,6505846581,Vargas-Zamora J.,Vargas-Zamora,José A.,J.A.,true,60071929
44,true,2,https://api.elsevier.com/content/author/author_id/25824001900,25824001900,Sibaja-Cordero J.,Sibaja-Cordero,Jeffrey A.,J.A.,true,60071929
45,true,1,https://api.elsevier.com/content/author/author_id/6603336151,6603336151,Hilje L.,Hilje,Luko,L.,true,60071928
46,true,1,https://api.elsevier.com/content/author/author_id/24802500200,24802500200,Noguera-Savelli E.,Noguera-Savelli,Eliana,E.,true,60009771
46,true,2,https://api.elsevier.com/content/author/author_id/6602110152,6602110152,Jáuregui D.,Jáuregui,Damelis,D.,true,60001197
47,true,1,https://api.elsevier.com/content/author/author_id/35467359300,35467359300,dos Santos A.,dos Santos,Alejandra Filippo Gonzalez Neves,A.F.G.N.,true,60001865
47,true,2,https://api.elsevier.com/content/author/author_id/35761037400,35761037400,dos Santos L.,dos Santos,Luciano Neves,L.N.,true,60028469
47,true,3,https://api.elsevier.com/content/author/author_id/7101718409,7101718409,Araújo F.,Araújo,Francisco Gerson,F.G.,true,60027947
48,true,1,https://api.elsevier.com/content/author/author_id/40461010800,40461010800,Calle-Rendón B.R.,Calle-Rendón,Bayron R.,B.R.,true,60052098
48,true,2,https://api.elsevier.com/content/author/author_id/16239382400,16239382400,Moreno F.,Moreno,Flavio,F.,true,60052098
48,true,3,https://api.elsevier.com/content/author/author_id/24587015100,24587015100,Cárdenas-López D.,Cárdenas-López,Dairon,D.,true,60077395
49,true,1,https://api.elsevier.com/content/author/author_id/15131890600,15131890600,García-Ríos C.,García-Ríos,Cedar I.,C.I.,true,60071532
50,true,1,https://api.elsevier.com/content/author/author_id/40461903900,40461903900,Nava M.,Nava,Mario,M.,true,60010329
50,true,2,https://api.elsevier.com/content/author/author_id/6506298129,6506298129,Severeyn H.,Severeyn,Héctor,H.,true,60010329
50,true,3,https://api.elsevier.com/content/author/author_id/54581280800,54581280800,Machado N.,Machado,Nakary,N.,true,60010329
51,true,1,https://api.elsevier.com/content/author/author_id/35794497600,35794497600,Blanco F.M.,Blanco,Félix Martín,F.M.,true,101826017
51,true,2,https://api.elsevier.com/content/author/author_id/36143795600,36143795600,Alonso L.C.,Alonso,Lídice Clero,L.C.,true,101826017
51,true,3,https://api.elsevier.com/content/author/author_id/6602584757,6602584757,Sansón G.G.,Sansón,Gaspar González,G.G.,true,60046703
51,true,4,https://api.elsevier.com/content/author/author_id/24474301600,24474301600,Amargós F.P.,Amargós,Fabián Pina,F.P.,true,101826017
52,true,1,https://api.elsevier.com/content/author/author_id/56243263900,56243263900,Franceschini M.,Franceschini,María Celeste,M.C.,true,60018064
52,true,2,https://api.elsevier.com/content/author/author_id/6508133861,6508133861,de Wysiecki M.,de Wysiecki,María Laura,M.L.,true,60031769
52,true,3,https://api.elsevier.com/content/author/author_id/40461312100,40461312100,de Neiffs A.,de Neiffs,Alicia Poi,A.P.,true,60018064
52,true,4,https://api.elsevier.com/content/author/author_id/35770605000,35770605000,Galassi M.,Galassi,María Eugenia,M.E.,true,60018064
52,true,5,https://api.elsevier.com/content/author/author_id/40462104400,40462104400,Martínez F.,Martínez,Fedra Solange,F.S.,true,60003542
53,true,1,https://api.elsevier.com/content/author/author_id/24448977400,24448977400,Atobatele O.E.,Atobatele,Oluwatosin Ebenezer,O.E.,true,60190660
53,true,2,https://api.elsevier.com/content/author/author_id/6505799652,6505799652,Ugwumba A.O.,Ugwumba,Alex Obih,A.O.,true,60006270
54,true,1,https://api.elsevier.com/content/author/author_id/37101108200,37101108200,Celentano D.,Celentano,Danielle,D.,true,60071928
54,true,2,https://api.elsevier.com/content/author/author_id/8325186800,8325186800,Zahawi R.A.,Zahawi,Rakan A.,R.A.,true,112648955
54,true,3,https://api.elsevier.com/content/author/author_id/7006935009,7006935009,Finegan B.,Finegan,Bryan,B.,true,60071928
54,true,4,https://api.elsevier.com/content/author/author_id/7801411930,7801411930,Casanoves F.,Casanoves,Fernando,F.,true,60071928
54,true,5,https://api.elsevier.com/content/author/author_id/6603922181,6603922181,Ostertag R.,Ostertag,Rebecca,R.,true,60014837
54,true,6,https://api.elsevier.com/content/author/author_id/26532442900,26532442900,Cole R.J.,Cole,Rebecca J.,R.J.,true,60013791
54,true,7,https://api.elsevier.com/content/author/author_id/7006134584,7006134584,Holl K.D.,Holl,Karen D.,K.D.,true,60024941
55,true,1,https://api.elsevier.com/content/author/author_id/40462730100,40462730100,Velásquez N.L.,Velásquez,Natalia Loaiza,N.L.,true,60071929
55,true,2,https://api.elsevier.com/content/author/author_id/57212000934,57212000934,Lutz M.I.G.,Lutz,María Isabel González,M.I.G.,true,60071929
55,true,3,https://api.elsevier.com/content/author/author_id/6603820092,6603820092,Monge-Nájera J.,Monge-Nájera,Julián,J.,true,60113197
56,true,1,https://api.elsevier.com/content/author/author_id/6701389751,6701389751,Ronderos M.M.,Ronderos,María M.,M.M.,true,60023103
56,true,2,https://api.elsevier.com/content/author/author_id/7103315760,7103315760,Marino P.I.,Marino,Pablo I.,P.I.,true,60023103
56,true,3,https://api.elsevier.com/content/author/author_id/8362901400,8362901400,Díaz F.,Díaz,Florentina,F.,true,60023103
56,true,4,https://api.elsevier.com/content/author/author_id/13607693700,13607693700,Estévez A.L.,Estévez,Ana L.,A.L.,true,60023103
57,true,1,https://api.elsevier.com/content/author/author_id/6506459780,6506459780,Zalocar Y.,Zalocar,Yolanda,Y.,true,60018064
57,true,2,https://api.elsevier.com/content/author/author_id/6602626486,6602626486,Frutos S.M.,Frutos,Santa Margarita,S.M.,true,60018064
57,true,3,https://api.elsevier.com/content/author/author_id/6504392224,6504392224,Casco S.L.,Casco,Sylvina Lorena,S.L.,true,60018064
57,true,4,https://api.elsevier.com/content/author/author_id/40461413600,40461413600,Forastier M.E.,Forastier,Marina Elizabet,M.E.,true,60018064
57,true,5,https://api.elsevier.com/content/author/author_id/40462545900,40462545900,Vallejos S.V.,Vallejos,Silvina Vanesa,S.V.,true,60018064
58,true,1,https://api.elsevier.com/content/author/author_id/56002731900,56002731900,Velázquez-Velázquez E.,Velázquez-Velázquez,Ernesto,E.,true,60013281
58,true,2,https://api.elsevier.com/content/author/author_id/6603441134,6603441134,González-Solís D.,González-Solís,David,D.,true,60015438
58,true,3,https://api.elsevier.com/content/author/author_id/7004454431,7004454431,Salgado-Maldonado G.,Salgado-Maldonado,Guillermo,G.,true,60032442
59,true,1,https://api.elsevier.com/content/author/author_id/6701706771,6701706771,Ferrandis P.,Ferrandis,Pablo,P.,true,60000823
59,true,2,https://api.elsevier.com/content/author/author_id/9735751700,9735751700,Bonilla M.,Bonilla,Marta,M.,true,60070384
59,true,3,https://api.elsevier.com/content/author/author_id/54581429900,54581429900,Osorio L.d.C.,Osorio,Licet del Carmen,L.d.C.,true,110716825
60,true,1,https://api.elsevier.com/content/author/author_id/56039458800,56039458800,González A.,González,Aileen,A.,true,60038119
60,true,2,https://api.elsevier.com/content/author/author_id/7201925752,7201925752,Díaz R.,Díaz,Raúl,R.,true,60038119
60,true,3,https://api.elsevier.com/content/author/author_id/47061177700,47061177700,Díaz M.,Díaz,Manuel,M.,true,60038119
60,true,4,https://api.elsevier.com/content/author/author_id/40461137100,40461137100,Borrero Y.,Borrero,Yainais,Y.,true,60038119
60,true,5,https://api.elsevier.com/content/author/author_id/24467288900,24467288900,Bruzón R.Y.,Bruzón,Rosa Y.,R.Y.,true,60038119
60,true,6,https://api.elsevier.com/content/author/author_id/40460910200,40460910200,Carreras B.,Carreras,Bertha,B.,true,112649142
60,true,7,https://api.elsevier.com/content/author/author_id/40461220700,40461220700,Gato R.,Gato,René,R.,true,60038119
61,true,1,https://api.elsevier.com/content/author/author_id/57221857227,57221857227,da Silva Angelo P.C.,da Silva Angelo,Paula Cristina,P.C.,true,60009625
61,true,2,https://api.elsevier.com/content/author/author_id/55942012800,55942012800,Moraes L.A.C.,Moraes,Larissa Alexandra Cardoso,L.A.C.,true,60009625
61,true,3,https://api.elsevier.com/content/author/author_id/8113926800,8113926800,Lopes R.,Lopes,Ricardo,R.,true,60009625
61,true,4,https://api.elsevier.com/content/author/author_id/55922805500,55922805500,Sousa N.R.,Sousa,Nelcimar Reis,N.R.,true,60009625
61,true,5,https://api.elsevier.com/content/author/author_id/34970934000,34970934000,da Cunha R.N.V.,da Cunha,Raimundo Nonato Vieira,R.N.V.,true,60009625
61,true,6,https://api.elsevier.com/content/author/author_id/22635599300,22635599300,Quisen R.C.,Quisen,Regina Caetano,R.C.,true,60009625
62,true,1,https://api.elsevier.com/content/author/author_id/24080461800,24080461800,Havukainen L.,Havukainen,Liisa,L.,true,101479007
62,true,2,https://api.elsevier.com/content/author/author_id/40461384500,40461384500,Filho E.L.d.A.M.,Filho,Emygdio Leite de Araujo Monteiro,E.L.d.A.M.,true,101479007
62,true,3,https://api.elsevier.com/content/author/author_id/26639336800,26639336800,Filla G.d.F.,Filla,Gislaine de Fatima,G.d.F.,true,101479007
63,true,1,https://api.elsevier.com/content/author/author_id/7003674782,7003674782,Fagundes M.,Fagundes,Marcílio,M.,true,60024246
63,true,2,https://api.elsevier.com/content/author/author_id/7101790742,7101790742,Fernandes G.,Fernandes,G. Wilson,G.W.,true,60030074
64,true,1,https://api.elsevier.com/content/author/author_id/40461723700,40461723700,Hernández-Guzmán A.,Hernández-Guzmán,Andrés,A.,true,60051434
64,true,2,https://api.elsevier.com/content/author/author_id/54937219300,54937219300,Payán E.,Payán,Esteban,E.,true,60111654
64,true,3,https://api.elsevier.com/content/author/author_id/14034649700,14034649700,Monroy-Vilchis O.,Monroy-Vilchis,Octavio,O.,true,60002281
65,true,1,https://api.elsevier.com/content/author/author_id/6603237546,6603237546,Ortaz M.,Ortaz,Mario,M.,true,60039702
65,true,2,https://api.elsevier.com/content/author/author_id/56238396100,56238396100,Martín R.,Martín,Ricardo,R.,true,60039702
65,true,3,https://api.elsevier.com/content/author/author_id/35761370800,35761370800,López-Ordaz A.,López-Ordaz,Adriana,A.,true,60039702
66,true,1,https://api.elsevier.com/content/author/author_id/57196467148,57196467148,Figueredo C.J.,Figueredo,Carmen J.,C.J.,true,60007866
66,true,2,https://api.elsevier.com/content/author/author_id/34870943400,34870943400,Villegas J.L.,Villegas,José Luis,J.L.,true,60007866
66,true,3,https://api.elsevier.com/content/author/author_id/57202424425,57202424425,Nassar J.M.,Nassar,Jafet M.,J.M.,true,60007866
67,true,1,https://api.elsevier.com/content/author/author_id/13613425400,13613425400,de Oliveira J.B.,de Oliveira,Jaqueline B.,J.B.,true,60071924
67,true,2,https://api.elsevier.com/content/author/author_id/40462278800,40462278800,Santos T.,Santos,Tiziano,T.,true,60071924
67,true,3,https://api.elsevier.com/content/author/author_id/7102679463,7102679463,Vaughan C.,Vaughan,Christopher,C.,true,60071924
67,true,4,https://api.elsevier.com/content/author/author_id/40462324000,40462324000,Santiago H.,Santiago,Heber,H.,true,110715296
68,true,1,https://api.elsevier.com/content/author/author_id/7102364805,7102364805,Giudice G.E.,Giudice,Gabriela E.,G.E.,true,60023103
68,true,2,https://api.elsevier.com/content/author/author_id/15843226100,15843226100,Giacosa J.P.R.,Giacosa,Juan Pablo Ramos,J.P.R.,true,60023103
68,true,3,https://api.elsevier.com/content/author/author_id/56217110000,56217110000,Luna M.L.,Luna,María Luján,M.L.,true,60023103
68,true,4,https://api.elsevier.com/content/author/author_id/40462760900,40462760900,Yañez A.,Yañez,Agustina,A.,true,60023103
68,true,5,https://api.elsevier.com/content/author/author_id/56040777200,56040777200,de la Sota E.R.,de la Sota,Elías R.,E.R.,true,60023103
69,true,1,https://api.elsevier.com/content/author/author_id/22635681000,22635681000,Ramírez J.A.,Ramírez,Jorge Andrés,J.A.,true,60027863
69,true,2,https://api.elsevier.com/content/author/author_id/7005396842,7005396842,del Valle J.I.,del Valle,Jorge Ignacio,J.I.,true,60052098
70,true,1,https://api.elsevier.com/content/author/author_id/57225467700,57225467700,Bueno A.,Bueno,Andrea,A.,true,60026438
70,true,2,https://api.elsevier.com/content/author/author_id/6701834136,6701834136,Baruch Z.,Baruch,Zdravko,Z.,true,60026438
71,true,1,https://api.elsevier.com/content/author/author_id/40462278800,40462278800,Santos T.,Santos,Tiziano,T.,true,60032442
71,true,2,https://api.elsevier.com/content/author/author_id/13613425400,13613425400,de Oliveira J.B.,de Oliveira,Jaqueline B.,J.B.,true,60032442
71,true,3,https://api.elsevier.com/content/author/author_id/7102679463,7102679463,Vaughan C.,Vaughan,Christopher,C.,true,60032442
71,true,4,https://api.elsevier.com/content/author/author_id/40462324000,40462324000,Santiago H.,Santiago,Heber,H.,true,110715296
72,true,1,https://api.elsevier.com/content/author/author_id/7401485917,7401485917,García C.B.,García,Camilo B.,C.B.,true,60055696
72,true,2,https://api.elsevier.com/content/author/author_id/40461199300,40461199300,Contreras C.C.,Contreras,Cristian Camilo,C.C.,true,60055696
73,true,1,https://api.elsevier.com/content/author/author_id/56254224000,56254224000,Niño J.,Niño,Jaime,J.,true,60077377
73,true,2,https://api.elsevier.com/content/author/author_id/6507991394,6507991394,Correa Y.,Correa,Yaned Milena,Y.M.,true,60040209
73,true,3,https://api.elsevier.com/content/author/author_id/40460952800,40460952800,Cardona G.,Cardona,Germán David,G.D.,true,60077377
73,true,4,https://api.elsevier.com/content/author/author_id/6603262077,6603262077,Mosquera O.,Mosquera,Oscar Marino,O.M.,true,60077377
74,true,1,https://api.elsevier.com/content/author/author_id/25936798000,25936798000,Vibrans A.C.,Vibrans,Alexander C.,A.C.,true,60016207
74,true,2,https://api.elsevier.com/content/author/author_id/6505605315,6505605315,Sevegnani L.,Sevegnani,Lúcia,L.,true,60016207
