@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/6602341513,6602341513,Ryti R.,Ryti,R. T.,R.T.,127,true,60022522
true,2,https://api.elsevier.com/content/author/author_id/7103040418,7103040418,Case T.,Case,T. J.,T.J.,127,true,60022522
true,1,https://api.elsevier.com/content/author/author_id/34567833800,34567833800,Agren J.,Agren,J.,J.,128,true,60027152
true,1,https://api.elsevier.com/content/author/author_id/6507791215,6507791215,Risley L.,Risley,L. S.,L.S.,129,true,123285657
true,2,https://api.elsevier.com/content/author/author_id/7005190726,7005190726,Crossley D.,Crossley,D. A.,D.A.,129,true,123285657
true,1,https://api.elsevier.com/content/author/author_id/7005505311,7005505311,Bernays E.,Bernays,E. A.,E.A.,130,true,60025038
true,2,https://api.elsevier.com/content/author/author_id/7006857631,7006857631,Janzen D.,Janzen,D. H.,D.H.,130,true,60025038
true,1,https://api.elsevier.com/content/author/author_id/56848185700,56848185700,Dinerstein E.,Dinerstein,E.,E.,131,true,60025643
true,2,https://api.elsevier.com/content/author/author_id/35587030900,35587030900,Wemmer C.M.,Wemmer,C. M.,C.M.,131,true,60025643
true,1,https://api.elsevier.com/content/author/author_id/7201547672,7201547672,Strong D.R.,Strong,D. R.,D.R.,132,true,60002092
true,1,https://api.elsevier.com/content/author/author_id/7401452165,7401452165,Gilbert J.,Gilbert,J. J.,J.J.,133,true,60010756
true,1,https://api.elsevier.com/content/author/author_id/7201796205,7201796205,Frank C.,Frank,C. L.,C.L.,134,true,60007278
true,1,https://api.elsevier.com/content/author/author_id/16193628600,16193628600,Day R.T.,Day,R. T.,R.T.,135,true,60028897
true,2,https://api.elsevier.com/content/author/author_id/7004861348,7004861348,Keddy P.A.,Keddy,P. A.,P.A.,135,true,60028897
true,3,https://api.elsevier.com/content/author/author_id/57220494082,57220494082,McNeill J.,McNeill,J.,J.,135,true,60028897
true,4,https://api.elsevier.com/content/author/author_id/6701714349,6701714349,Carleton T.,Carleton,T.,T.,135,true,60028897
true,1,https://api.elsevier.com/content/author/author_id/7003667481,7003667481,Posey M.,Posey,M. H.,M.H.,136,true,100947546
true,1,https://api.elsevier.com/content/author/author_id/6602738101,6602738101,Spalinger D.,Spalinger,D. E.,D.E.,137,true,60020547
true,2,https://api.elsevier.com/content/author/author_id/7004972307,7004972307,Hanley T.,Hanley,T. A.,T.A.,137,true,60020547
true,3,https://api.elsevier.com/content/author/author_id/7102535591,7102535591,Robbins C.,Robbins,C. T.,C.T.,137,true,60020547
