@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/7006510898,7006510898,Ens B.,Ens,B. J.,B.J.,39,true,60070255
true,2,https://api.elsevier.com/content/author/author_id/7007060771,7007060771,Goss-Custard J.,Goss-Custard,J. D.,J.D.,39,true,60070255
true,1,https://api.elsevier.com/content/author/author_id/57193304990,57193304990,Watson A.,Watson,A.,A.,40,true,60004708
true,2,https://api.elsevier.com/content/author/author_id/8085775500,8085775500,Moss R.,Moss,R.,R.,40,true,60004708
true,3,https://api.elsevier.com/content/author/author_id/36952564400,36952564400,Rothery P.,Rothery,P.,P.,40,true,60004708
true,4,https://api.elsevier.com/content/author/author_id/7006656426,7006656426,Parr R.,Parr,R.,R.,40,true,60004708
true,1,https://api.elsevier.com/content/author/author_id/57202295828,57202295828,Hill D.A.,Hill,D. A.,D.A.,41,true,60026851
true,1,https://api.elsevier.com/content/author/author_id/57531685400,57531685400,Atkinson W.D.,Atkinson,W. D.,W.D.,42,true,60006925
true,2,https://api.elsevier.com/content/author/author_id/57520540500,57520540500,Newbury S.F.,Newbury,S. F.,S.F.,42,true,60006925
true,1,https://api.elsevier.com/content/author/author_id/6603633892,6603633892,Wetzler R.E.,Wetzler,R. E.,R.E.,43,true,106127911
true,2,https://api.elsevier.com/content/author/author_id/7005586164,7005586164,Risch S.J.,Risch,S. J.,S.J.,43,true,106127911
true,1,https://api.elsevier.com/content/author/author_id/7007044753,7007044753,Kacelnik A.,Kacelnik,A.,A.,44,true,60010023
true,1,https://api.elsevier.com/content/author/author_id/7004415404,7004415404,Lepage M.,Lepage,M.,M.,45,true,60000179
true,1,https://api.elsevier.com/content/author/author_id/7102938560,7102938560,Cowie R.,Cowie,R. H.,R.H.,46,true,60020661
true,1,https://api.elsevier.com/content/author/author_id/7102180766,7102180766,Lawton J.,Lawton,J. H.,J.H.,47,true,60016418
true,2,https://api.elsevier.com/content/author/author_id/6602952856,6602952856,Heads P.,Heads,P. A.,P.A.,47,true,60016418
true,1,https://api.elsevier.com/content/author/author_id/7005841277,7005841277,Brakefield P.,Brakefield,P. M.,P.M.,48,true,60007989
true,1,https://api.elsevier.com/content/author/author_id/23079444500,23079444500,Bristow C.,Bristow,C. M.,C.M.,49,true,60003269
true,1,https://api.elsevier.com/content/author/author_id/35607154700,35607154700,Brunsting A.,Brunsting,A. M.H.,A.M.H.,50,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/57189195347,57189195347,Heessen H.,Heessen,H. J.L.,H.J.L.,50,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7003407449,7003407449,Hurd L.,Hurd,L. E.,L.E.,51,true,60023004
true,2,https://api.elsevier.com/content/author/author_id/7203006595,7203006595,Eisenberg R.,Eisenberg,R. M.,R.M.,51,true,60023004
true,1,https://api.elsevier.com/content/author/author_id/6602952856,6602952856,Heads P.,Heads,P. A.,P.A.,52,true,60016418
true,2,https://api.elsevier.com/content/author/author_id/7102180766,7102180766,Lawton J.,Lawton,J. H.,J.H.,52,true,60016418
true,1,https://api.elsevier.com/content/author/author_id/7202610636,7202610636,Davies N.,Davies,N. B.,N.B.,53,true,60031101
true,2,https://api.elsevier.com/content/author/author_id/7102210773,7102210773,Lundberg A.,Lundberg,A.,A.,53,true,60031101
true,1,https://api.elsevier.com/content/author/author_id/7005374318,7005374318,Alatalo R.,Alatalo,R. V.,R.V.,54,true,60003858
true,2,https://api.elsevier.com/content/author/author_id/7102210773,7102210773,Lundberg A.,Lundberg,A.,A.,54,true,60003858
true,1,https://api.elsevier.com/content/author/author_id/6602761399,6602761399,Kneidel K.,Kneidel,K. A.,K.A.,55,true,60025111
true,1,https://api.elsevier.com/content/author/author_id/57197375702,57197375702,Booth R.,Booth,R. G.,R.G.,56,true,60016418
true,2,https://api.elsevier.com/content/author/author_id/7006152957,7006152957,Usher M.,Usher,M. B.,M.B.,56,true,60016418
true,1,https://api.elsevier.com/content/author/author_id/57213286145,57213286145,Krieber M.,Krieber,M.,M.,57,true,60032619
true,2,https://api.elsevier.com/content/author/author_id/6701358689,6701358689,Barrette C.,Barrette,C.,C.,57,true,60032619
true,1,https://api.elsevier.com/content/author/author_id/7003878221,7003878221,Clout M.,Clout,M. N.,M.N.,58,true,60016302
true,2,https://api.elsevier.com/content/author/author_id/6603345340,6603345340,Efford M.,Efford,M. G.,M.G.,58,true,60016302
true,1,https://api.elsevier.com/content/author/author_id/7004636151,7004636151,Safriel U.,Safriel,U. N.,U.N.,59,true,60026851
true,2,https://api.elsevier.com/content/author/author_id/7404204111,7404204111,Harris M.,Harris,M. P.,M.P.,59,true,60026851
true,3,https://api.elsevier.com/content/author/author_id/35571238000,35571238000,Brooke M.,Brooke,M. D.L.,M.D.L.,59,true,60026851
true,4,https://api.elsevier.com/content/author/author_id/7103013388,7103013388,Britton C.,Britton,C. K.,C.K.,59,true,60026851
true,1,https://api.elsevier.com/content/author/author_id/57203194986,57203194986,Newton I.,Newton,I.,I.,60,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/6603706764,6603706764,Marquiss M.,Marquiss,M.,M.,60,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7005437840,7005437840,Slagsvold T.,Slagsvold,T.,T.,61,true,60010348
true,1,https://api.elsevier.com/content/author/author_id/7102193955,7102193955,Murdoch W.,Murdoch,W. W.,W.W.,62,true,60029241
true,2,https://api.elsevier.com/content/author/author_id/7403481058,7403481058,Scott M.,Scott,M. A.,M.A.,62,true,60029241
true,3,https://api.elsevier.com/content/author/author_id/6506808559,6506808559,Ebsworth P.,Ebsworth,P.,P.,62,true,60029241
true,1,https://api.elsevier.com/content/author/author_id/6603342468,6603342468,Levings S.,Levings,S. C.,S.C.,63,true,60009982
true,2,https://api.elsevier.com/content/author/author_id/7401781173,7401781173,Adams E.,Adams,E. S.,E.S.,63,true,60009982
true,1,https://api.elsevier.com/content/author/author_id/7102051211,7102051211,Finlay B.,Finlay,B. J.,B.J.,64,true,60011185
true,2,https://api.elsevier.com/content/author/author_id/6602692115,6602692115,Berninger U.,Berninger,U. G.,U.G.,64,true,60011185
true,1,https://api.elsevier.com/content/author/author_id/7003358811,7003358811,Bellows T.,Bellows,T. S.,T.S.,65,true,60015150
true,2,https://api.elsevier.com/content/author/author_id/7004558366,7004558366,Hassell M.,Hassell,M. P.,M.P.,65,true,60015150
true,1,https://api.elsevier.com/content/author/author_id/7005841277,7005841277,Brakefield P.,Brakefield,P. M.,P.M.,66,true,60007989
true,1,https://api.elsevier.com/content/author/author_id/7401431978,7401431978,Harvey P.,Harvey,P. H.,P.H.,67,true,60017317
true,2,https://api.elsevier.com/content/author/author_id/7102498835,7102498835,Greenwood P.,Greenwood,P. J.,P.J.,67,true,60017317
true,3,https://api.elsevier.com/content/author/author_id/57214023971,57214023971,Campbell B.,Campbell,B.,B.,67,true,60017317
true,4,https://api.elsevier.com/content/author/author_id/6508137800,6508137800,Stenning M.,Stenning,M. J.,M.J.,67,true,60017317
true,1,https://api.elsevier.com/content/author/author_id/35404557300,35404557300,Elliott J.,Elliott,J. M.,J.M.,68,true,60011185
