"","ISO","NAME","X","Y","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"11","AFG","Puli Khumri","68.6625069178762","36.0082903272061","221247.67409436","304294.478321499","394691.468829581","464602.360879133","532915.758960957","576823.189741405","615905.402488517","650733.024946149","666634.919032732","671033.799283785"
"12","AFG","Jalalabad","70.447997007652","34.433997958519","219512.795697728","301908.401637008","391596.558542229","460959.255467007","528736.984918561","572300.122574011","611075.878374783","645630.40557817","661407.607495088","665771.994627295"
"13","AFG","Pashtun Kot","64.765051010852","35.8213688173074","197299.857497402","271357.687513916","351970.120699687","414313.86779377","475233.033438688","514387.93019193","549239.889821569","580297.77540609","594478.45075133","598401.196833221"
"14","AFG","Jaghuri","67.4698925632071","33.1434577025321","196054.051456486","269644.259786993","349747.683703777","411697.775081489","472232.280212554","511139.942084203","545771.836771095","576633.614249051","590724.748875745","594622.725650512"
"15","AFG","Charikar","69.17139","35.01361","187014.577292299","257211.758128609","333621.849387488","392715.604737877","450459.042348995","487572.786667475","520607.906817175","550046.738744655","563488.172707395","567206.425267914"
"16","AFG","Shindand","62.3596470061593","33.2441880346682","185302.332022792","254856.810067909","330567.315127708","389120.027076448","446334.78436047","483108.727182922","515841.38840657","545010.687865312","558329.0563855","562013.265822484"
"17","AFG","Baghlani Jadid","68.6233997596675","36.3248820739142","181806.005906381","250048.114401434","324330.096607593","381778.022805726","437913.239168959","473993.322959579","506108.376962386","534727.303512262","547794.378056941","551409.073000868"
"18","AFG","Ghazni","68.42096","33.55391","179793.625690208","247280.373720898","320740.141112621","377552.185841575","433066.050900836","468746.770289515","500506.348140726","528808.496587976","541730.933874024","545305.618365291"
"19","AFG","Shibirghan","65.7488488215577","36.5662383078126","177501.775556484","244128.262207467","316651.629451111","372739.484477513","427545.707880563","462771.601013926","494126.335854347","522067.713543153","534825.427027074","538354.544601839"
"20","AFG","Khanabad","69.111852342493","36.6063145615663","173143.422511287","238133.972000088","308876.610924348","363587.292832416","417047.812115518","451408.773739738","481993.628934479","509248.938057744","521693.400481285","525135.864611144"
"21","AFG","Rustaq","69.8113981085787","37.1085615180875","171570.912200556","235971.209355836","306071.354747837","360285.147370943","413260.131503068","447309.022557947","477616.102256233","504623.875238669","516955.315491406","520366.514729652"
"22","AFG","Sari Pul","66.0668793500395","36.2864737458064","164093.12380804","225686.58273902","292731.466334003","344582.391825427","395248.50135663","427813.397257304","456799.565818193","482630.225450088","494424.209209751","497686.733910214"
"23","AFG","Qarabagh","67.9965006807772","33.2206314259283","158655.269003849","218207.59251866","283030.68684001","333163.333114476","382150.426848244","413636.160066705","441661.760796926","466636.422485001","478039.567373663","481193.975809383"
"24","AFG","Guzara","62.0442724144118","34.038332125159","152124.135754588","209224.954427358","271379.569666354","319448.477402462","366418.989911554","396608.595239705","423480.506376704","447427.072090632","458360.800115952","461385.355556901"
"25","AFG","Qaysar","64.2790809982387","35.6413656710883","148876.774036559","204758.673622582","265586.487449529","312629.278389408","358597.121312627","388142.275527622","414440.557666935","437875.941112567","448576.269160634","451536.260056948"
"26","AFG","Mihtarlam","70.0950834029032","34.6517978224354","142918.357308478","196563.725055031","254957.059321385","300117.081412424","344245.177565202","372607.861631662","397853.621473709","420351.062908874","430623.137362315","433464.662101731"
"27","AFG","Chaghcharan","65.3474263740816","34.7282103822212","141692.232247671","194877.365696622","252769.731914668","297542.31717901","341291.829603304","369411.184552493","394440.355991172","416744.787394126","426928.735674337","429745.8824069"
"28","AFG","Khost(Matun)","70.0112550304503","33.3346240110909","140524.166078186","193270.858025328","250685.977796071","295089.471958254","338478.327170902","366365.875007571","391188.713834052","413309.274524138","423409.269539803","426203.192601311"
"29","AFG","Andar","68.4469633834898","33.305842893623","138445.854578647","190412.438310272","246978.405177303","290725.184589899","333472.331267589","360947.430391837","385403.1466598","407196.550698176","417147.1697284","419899.77148134"
"30","AFG","Khogayani","70.1202741461253","34.2172727366215","136592.890301359","187863.951414698","243672.837354794","286834.108304571","329009.125639777","356116.497053094","380244.897138438","401746.61747645","411564.057065108","414279.817897579"
"31","AFG","Koshk","62.2362313741475","35.0056910975527","128812.01481516","177162.471922771","229792.261267389","270494.894184503","310267.454424105","335830.681912656","358584.632154153","378861.528796583","388119.727894289","390680.788164813"
"32","AFG","Balkh","66.8894269290843","36.8126108171503","127444.186697566","175281.220311062","227352.144818484","267622.564903247","306972.788559709","332264.565427869","354776.896182463","374838.476657337","383998.364855534","386532.229757257"
"33","AFG","Paghman","68.9363740722883","34.5480725932807","127061.391634441","174754.740543469","226669.263308682","266818.725989283","306050.75617032","331266.565922414","353711.277986069","373712.600914771","382844.976206558","385371.23031802"
